value,datetime,datetime_utc,tz_time,geo_id,geo_name
4788.0,2026-07-10 00:00:00+02:00,2026-07-09T22:00:00Z,2026-07-09T22:00:00.000Z,8741,Península
4646.0,2026-07-10 00:15:00+02:00,2026-07-09T22:15:00Z,2026-07-09T22:15:00.000Z,8741,Península
4493.0,2026-07-10 00:30:00+02:00,2026-07-09T22:30:00Z,2026-07-09T22:30:00.000Z,8741,Península
4334.0,2026-07-10 00:45:00+02:00,2026-07-09T22:45:00Z,2026-07-09T22:45:00.000Z,8741,Península
4658.0,2026-07-10 01:00:00+02:00,2026-07-09T23:00:00Z,2026-07-09T23:00:00.000Z,8741,Península
4494.0,2026-07-10 01:15:00+02:00,2026-07-09T23:15:00Z,2026-07-09T23:15:00.000Z,8741,Península
4343.0,2026-07-10 01:30:00+02:00,2026-07-09T23:30:00Z,2026-07-09T23:30:00.000Z,8741,Península
4202.0,2026-07-10 01:45:00+02:00,2026-07-09T23:45:00Z,2026-07-09T23:45:00.000Z,8741,Península
4683.0,2026-07-10 02:00:00+02:00,2026-07-10T00:00:00Z,2026-07-10T00:00:00.000Z,8741,Península
4509.0,2026-07-10 02:15:00+02:00,2026-07-10T00:15:00Z,2026-07-10T00:15:00.000Z,8741,Península
4348.0,2026-07-10 02:30:00+02:00,2026-07-10T00:30:00Z,2026-07-10T00:30:00.000Z,8741,Península
4196.0,2026-07-10 02:45:00+02:00,2026-07-10T00:45:00Z,2026-07-10T00:45:00.000Z,8741,Península
4374.0,2026-07-10 03:00:00+02:00,2026-07-10T01:00:00Z,2026-07-10T01:00:00.000Z,8741,Península
4233.0,2026-07-10 03:15:00+02:00,2026-07-10T01:15:00Z,2026-07-10T01:15:00.000Z,8741,Península
4077.0,2026-07-10 03:30:00+02:00,2026-07-10T01:30:00Z,2026-07-10T01:30:00.000Z,8741,Península
3911.0,2026-07-10 03:45:00+02:00,2026-07-10T01:45:00Z,2026-07-10T01:45:00.000Z,8741,Península
3577.0,2026-07-10 04:00:00+02:00,2026-07-10T02:00:00Z,2026-07-10T02:00:00.000Z,8741,Península
3447.0,2026-07-10 04:15:00+02:00,2026-07-10T02:15:00Z,2026-07-10T02:15:00.000Z,8741,Península
3324.0,2026-07-10 04:30:00+02:00,2026-07-10T02:30:00Z,2026-07-10T02:30:00.000Z,8741,Península
3207.0,2026-07-10 04:45:00+02:00,2026-07-10T02:45:00Z,2026-07-10T02:45:00.000Z,8741,Península
3142.0,2026-07-10 05:00:00+02:00,2026-07-10T03:00:00Z,2026-07-10T03:00:00.000Z,8741,Península
3021.0,2026-07-10 05:15:00+02:00,2026-07-10T03:15:00Z,2026-07-10T03:15:00.000Z,8741,Península
2894.0,2026-07-10 05:30:00+02:00,2026-07-10T03:30:00Z,2026-07-10T03:30:00.000Z,8741,Península
2759.0,2026-07-10 05:45:00+02:00,2026-07-10T03:45:00Z,2026-07-10T03:45:00.000Z,8741,Península
2713.0,2026-07-10 06:00:00+02:00,2026-07-10T04:00:00Z,2026-07-10T04:00:00.000Z,8741,Península
2595.0,2026-07-10 06:15:00+02:00,2026-07-10T04:15:00Z,2026-07-10T04:15:00.000Z,8741,Península
2469.0,2026-07-10 06:30:00+02:00,2026-07-10T04:30:00Z,2026-07-10T04:30:00.000Z,8741,Península
2338.0,2026-07-10 06:45:00+02:00,2026-07-10T04:45:00Z,2026-07-10T04:45:00.000Z,8741,Península
1986.0,2026-07-10 07:00:00+02:00,2026-07-10T05:00:00Z,2026-07-10T05:00:00.000Z,8741,Península
1871.0,2026-07-10 07:15:00+02:00,2026-07-10T05:15:00Z,2026-07-10T05:15:00.000Z,8741,Península
